"gene","Neurons","Astrocytes","Microglia","Oligodendrocytes"
"Aco2",2.231,2.349,2.167,2.793
"Acsbg1",2.698,2.236,4.877,2.34
"Actb",4.487,3.734,1.911,3.524
"Actr2",0.813,0.339,0.541,0.247
"Add2",3.695,0,2.032,2.789
"Aif1",6.506,4.299,4.251,5.1
"Aldh1l1",1.086,12.68,0.955,1.413
"Aldoc",1.141,3.923,0.745,0.431
"Ank3",0.856,1.706,1.313,1.62
"Apod",11.18,1.725,0.861,1.243
"Apoe",3.597,2.694,3.25,2.779
"Aqp4",1.795,1.833,0.322,3.314
"Arpc2",4.457,9.182,3.595,3.967
"Arrb1",5.679,8.564,3.249,0
"Aspa",1.281,0.568,1.036,0.521
"Atp1a2",4.221,4.443,3.46,7.474
"Atp1a3",0,0.444,0.404,7.729
"Atp2b2",5.191,4.373,4.138,4.057
"Atp5f1a",13,3.697,3.5,3.572
"Atp6v1h",3.372,12.56,2.485,3.266
"Bsn",13,3.488,2.637,2.813
"C1qa",5.754,3.013,0,2.836
"C1qb",3.483,3.064,2.557,7.475
"C1qc",3.469,3.248,6.504,3.349
"Cacna1a",7.285,2.617,2.739,0
"Cacna1b",1.749,2.127,1.662,2.212
"Calm1",4.086,3.254,2.615,2.829
"Calm2",3.128,2.628,2.771,3.674
"Calr",5.163,13,3.719,3.767
"Camk2a",0,0.079,7.044,0
"Camk2b",1.637,8.966,0.865,1.228
"Canx",2.873,5.557,2.579,2.885
"Car2",3.521,3.195,4.796,0
"Carhsp1",3.344,2.912,3.495,10.367
"Cd68",1.978,3.252,1.311,2.23
"Cfl1",0.899,0,0,0
"Cldn11",2.226,9.231,0.893,2.087
"Clu",7.33,4.607,0,3.395
"Cnksr3",6.314,4.585,3.888,4.733
"Cnp",4.33,3.512,8.055,3.324
"Cox4i1",5.502,3.34,2.467,0
"Cplx1",2.24,11.877,2.232,2.585
"Cplx2",1.266,0.936,1.363,2.008
"Crmp1",5.077,4.471,4.248,4.185
"Csf1r",1.95,1.849,0.974,3.183
"Cst3",3.307,7.907,2.542,2.549
"Ctss",4.661,0,1.704,1.706
"Cttn",2.072,4.32,2.434,2.381
"Cx3cr1",7.306,2.881,2.559,2.836
"Dlg4",5.872,4.937,5.211,5.69
"Dlgap1",7.148,4.776,4.172,4.469
"Dmtn",2.342,1.656,1.986,4.974
"Dpysl2",4.977,0,0.456,0.289
"Dpysl3",1.298,0.335,0.527,0.682
"Dync1h1",3.885,11.508,0,3.127
"Eef1a1",1.573,0.832,0.984,4.724
"Eef1b2",1.343,0.889,5.202,1.262
"Eef1d",5.014,3.136,2.406,3.078
"Eno1",12.019,5.002,3.757,4.378
